0640.pdb,O=C(Cc1cc2ccccc2oc1=O)NCc1ccco1
0769.pdb,O=C(O)CCc1cc(C(=O)c2ccc(O)cc2O)ccc1O
0540.pdb,CN1C(=O)C(=O)c2cc3c(cc21)CCC3
0754.pdb,CC1CN(c2nc3c(cc2F)c(=O)c(C(=O)NC2CC2)cn3C2CC2)CC(C)N1
0595.pdb,Cc1ccc2c(O)noc2c1
0790.pdb,Oc1noc2ccccc12
0728.pdb,COc1nccc(N2CCC(N(C)Cc3ccc(C#N)cc3)CC2)n1
0787.pdb,O=c1c2ccccc2sn1-c1ccccc1
0657.pdb,COc1ccc2cccc(/C=C\NC(C)=O)c2c1
0621.pdb,O=C(O)CCc1cc(C(=O)c2ccc(OC3CCCC3)cc2O)ccc1O
0726.pdb,CSc1ncc(CN2CCC(N(C)C(=O)Cn3c(Cl)nc4ccccc43)CC2)s1
1086.pdb,Cc1ccc(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1
0751.pdb,CSc1nccc(N2CCC(N(C)Cc3c(Cl)cccc3Cl)CC2)n1
0653.pdb,CC(=O)c1cc2cc(Cl)ccc2oc1=O
0581.pdb,O=C(O)CNC(=O)COc1ccc2c(c1)O/C(=C/c1ccccc1F)C2=O
0594.pdb,Cc1ccc(C(=O)NO)c(O)c1
0770.pdb,COc1ccc(CNC(=O)C(C)CS)cc1
0487.pdb,COc1ccc(CNC(=O)/C=C/c2ccc(O)c(O)c2)cc1
0623.pdb,O=C(Cc1cc2ccccc2oc1=O)NCc1ccccc1
MTT.pdb,COc1ccc(CNC(=O)/C=C/c2ccc(O)c(O)c2)cc1
0591.pdb,O=C(O)c1ccc2oc(=O)ccc2c1
0644.pdb,O=C(Nc1ccc(O)cc1)c1cc2ccccc2oc1=O
0622.pdb,CC(C)COc1ccc(C(=O)c2ccc(O)c(CCC(=O)O)c2)cc1
0785.pdb,O=C(NCc1ccc(F)cc1)n1sc2ccccc2c1=O
0632.pdb,CC(=O)c1cc2cc([N+](=O)[O-])ccc2oc1=O
0624.pdb,O=C(Cc1cc2ccccc2oc1=O)NCc1cccc(Br)c1
0592.pdb,O=C(c1ccc2oc(=O)ccc2c1)c1ccc(OC2CCCC2)cc1O
1091.pdb,O=C(CCCc1ccccc1)N1C(=O)c2ccccc2S1(=O)=O
